barcode,collAbbreviation,collNo_Text,collector_Text,collrTeam_Text,country,county,family,genus,herbariumCode,herbariumDetailsUrl,collectionID,infraspecies,infraspecies_Author1_Text,infraspecies_Author2_Text,photoExists,plantID,rank,species,species_Author1_Text,species_Author2_Text,Continent,Collection Date,Locality,DetDate_Text,Habitat,RepState1,RepState2,RepState3,RepState4,Type,PlDescr,Frequency,elevL,ElevH,ElevUnits,Endangered,Named_Place,LongDecL,LongDirL,LatDecL,LatDirL,SpecimenImageURL
227194,null,2338,M. T. Strong,,USA,Sumter Co.,Apocynaceae,Amsonia,null,null,140039,null,null,null,TRUE,3882,null,ciliata,Walter,null,North America,5/22/2000,"NW side of FL 44, 1.6 km W of junction with FL 475, ca. 9 km ENE of the Withlacoochee River (where FL 44 crosses it), and 9.6 km W of Wildwood.",null,Longleaf pine - turkey oak sandhills.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,null,-82.038974,W,28.865264,N,https://cdn.plantatlas.org/img/specimens/USF/227194.jpg
104633,null,1750,P. Genelle,G. Fleming,USA,Citrus Co.,Apocynaceae,Amsonia,null,null,140022,null,null,null,TRUE,3882,null,ciliata,Walter,null,North America,4/15/1973,"Withlacoochee State Forest, FL 480.",null,"Edge of forest, sandy, full sun.",Flower,null,null,null,null,null,null,null,null,null,FALSE,null,-84.6667,W,30.2333,N,https://cdn.plantatlas.org/img/specimens/USF/104633.jpg
104728,null,1755,P. Genelle,G. Fleming,USA,Hernando Co.,Apocynaceae,Amsonia,null,null,140034,null,null,null,TRUE,3882,null,ciliata,Walter,null,North America,4/22/1973,"Withlacoochee State Forest, Croom Road; road shoulder.",null,"Dry, sandy in full sun.",Flower,null,null,null,null,null,null,null,null,null,FALSE,null,-82.227588,W,28.587772,N,https://cdn.plantatlas.org/img/specimens/USF/104728.jpg
190416,null,35,C. vanHoek,,USA,Hernando Co.,Poaceae,Andropogon,null,null,43564,null,null,null,TRUE,2415,null,brachystachyus,Chapm.,null,North America,10/13/1986,"Croom Hiking Trail, loop B, S of Croom Road, 5 mi. E of Brooksville.  T22S, R20E, Sec. 12.",null,Sandhills.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.387871,W,28.555272,N,https://cdn.plantatlas.org/img/specimens/USF/190416.jpg
304366,null,s.n.,C. Werner,,USA,Citrus Co.,Poaceae,Andropogon,null,null,250277,null,null,null,TRUE,668,null,gerardi,Vitman,null,North America,10/29/2021,Citrus Tract.,null,"Sandhill, close to ecotone with mesic hammock; under Pinus palustris, with Setaria parviflorz and Ageratina jucunda.",Fertile,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.4269,W,28.7999,N,https://cdn.plantatlas.org/img/specimens/USF/304366.jpg
57408,null,26797,O. K. Lakela,,USA,Citrus Co.,Schizaeaceae,Anemia,null,null,18430,null,null,null,TRUE,2718,null,adiantifolia,L.,Sw.,North America,1/26/1964,Withlacoochee River State Forest.,null,"Low vertical outcrop of limestone, ""pink"" limestone grotto.",Fertile,null,null,null,null,Most fruiting plants withered.,null,null,null,null,FALSE,null,-81.8167,W,28.35,N,https://cdn.plantatlas.org/img/specimens/USF/57408.jpg
55289,null,25787,O. K. Lakela,,USA,Citrus Co.,Schizaeaceae,Anemia,null,null,18463,null,null,null,TRUE,2718,null,adiantifolia,L.,Sw.,North America,4/13/1963,"Off FL 491, S of Lecanto.",null,In crevices of pink limestone outcrop.,null,null,null,null,null,null,Rare,null,null,null,FALSE,Withlacoochee State Forest,-82.487598,W,28.851649,N,https://cdn.plantatlas.org/img/specimens/USF/55289.jpg
192495,null,82,C. vanHoek,,USA,Citrus Co.,Poaceae,Anthenantia,null,null,45267,null,null,null,TRUE,2074,null,villosa,Michx.,P. Beauv.,North America,9/26/1987,"Along the Florida Trail in the Citrus Wildlife Management Area.  T20S, R18E, Sec. 20.",null,Dry sandhill.,Flower,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.45,W,28.8667,N,https://cdn.plantatlas.org/img/specimens/USF/192495.jpg
190494,null,30,C. vanHoek,,USA,Hernando Co.,Poaceae,Anthenantia,null,null,45291,null,null,null,TRUE,2074,null,villosa,Michx.,P. Beauv.,North America,9/15/1986,"Croom Hiking Trail, Loop C, between powerline route and Smith Prairie.  T22S, R20E, Sec. 11.",null,Sandhill.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.227588,W,28.587772,N,https://cdn.plantatlas.org/img/specimens/USF/190494.jpg
306743,null,10912,L. Baltzell,null,USA,Citrus Co.,Poaceae,Anthenantia,null,null,253514,null,null,null,TRUE,2074,null,villosa,Michx.,P. Beauv.,North America,9/24/1979,"S of FL 44, 7.3 mi. W of Inverness.",null,null,Fertile,null,null,null,null,Several scattered plants; flowers reddish.,null,null,null,null,FALSE,Withlacoochee State Forest.,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/306743.jpg
